nodes,cpu_load,ram_load,bw_load
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0390625,0.048828125,0.0015
7,0.0390625,0.048828125,0.0015
8,0.0390625,0.048828125,0.0015
9,0.0390625,0.048828125,0.0015
10,0.0390625,0.048828125,0.0015
11,0.078125,0.09765625,0.0015
12,0.078125,0.09765625,0.0015
13,0.078125,0.09765625,0.0015
14,0.078125,0.09765625,0.0015
15,0.078125,0.09765625,0.0015
16,0.1171875,0.146484375,0.0015
17,0.1171875,0.146484375,0.0015
18,0.1171875,0.146484375,0.0015
19,0.1171875,0.146484375,0.0015
20,0.1171875,0.146484375,0.0015
21,0.15625,0.1953125,0.0015
22,0.15625,0.1953125,0.0015
23,0.15625,0.1953125,0.0015
24,0.15625,0.1953125,0.0015
25,0.15625,0.1953125,0.0015
26,0.1953125,0.244140625,0.0015
27,0.1953125,0.244140625,0.0015
28,0.1953125,0.244140625,0.0015
29,0.1953125,0.244140625,0.0015
30,0.1953125,0.244140625,0.0015
31,0.234375,0.29296875,0.0015
32,0.234375,0.29296875,0.0015
33,0.234375,0.29296875,0.0015
34,0.234375,0.29296875,0.0015
35,0.234375,0.29296875,0.0015
36,0.2734375,0.341796875,0.0015
37,0.2734375,0.341796875,0.0015
38,0.2734375,0.341796875,0.0015
39,0.2734375,0.341796875,0.0015
40,0.2734375,0.341796875,0.0015
41,0.3125,0.390625,0.0015
42,0.3125,0.390625,0.0015
43,0.3125,0.390625,0.0015
44,0.3125,0.390625,0.0015
45,0.3125,0.390625,0.0015
46,0.3515625,0.439453125,0.0015
47,0.3515625,0.439453125,0.0015
48,0.3515625,0.439453125,0.0015
49,0.3515625,0.439453125,0.0015
50,0.3515625,0.439453125,0.0015
